filename, version, description, algorithm, param, test_auc_roc, test_accuracy, test_tpr/recall, test_fpr, test_precision, test_f1_score ,submission ,submission_score,CV,train_auc_roc,train_accuracy,train_tpr/recall, train_fpr,train_precision,train_f1_score 
model_2,3,GBC trained only on important columns of application data and feature added loan_days_employed_ratio,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7574,0.9195,0.0091,0.0006,0.5755,0.018,NA,NA,4,0.7663,0.9196,0.0101,0.0005,0.6341,0.0198
model_2,4,GBC trained only on important columns of application data and feature added loan_goods_price_ratio,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7572,0.9194,0.011,0.0008,0.5499,0.0216,NA,NA,4,0.7665,0.9196,0.0122,0.0007,0.6063,0.024
model_3,0,GBC trained only on important columns of application data,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7512,0.9195,0.0089,0.0006,0.5797,0.0175,NA,NA,4,0.7602,0.9196,0.0097,0.0005,0.6374,0.0191
model_3,1,GBC trained only on important columns of application data with equal upsampling,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7586,0.691,0.6946,0.3126,0.6897,0.6921,submission_5.csv,0.736,4,0.7602,0.692,0.6957,0.3117,0.6906,0.6932
model_3,2,GBC trained only on important columns of application data with upsampling 1_class*4 ratio,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7579,0.7413,0.3308,0.0784,0.6494,0.4383,NA,NA,4,0.7601,0.7424,0.3327,0.0777,0.6526,0.4407
model_5,0,GBC trained only on important columns of application data with dev set CV,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7491,0.9195,0.0098,0.0007,0.5648,0.0193,NA,NA,dev set,0.761,0.9196,0.0103,0.0005,0.6453,0.0202
model_5,1,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio feature,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7549,0.9193,0.0098,0.0008,0.5083,0.0193,NA,NA,dev set,0.7665,0.9196,0.0106,0.0006,0.6137,0.0208
model_5,2,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio feature,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=500 random_state=0),0.7652,0.9196,0.0348,0.0027,0.5307,0.0653,Submission_6.csv,0.76,dev set,0.796,0.9209,0.0403,0.0018,0.662,0.0759
model_5,3,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio feature,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=2000 random_state=0),0.7629,0.9188,0.0451,0.0045,0.4667,0.0823,NA,NA,dev set,0.8427,0.9246,0.0857,0.0018,0.8106,0.155
model_5,4,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio feature with SMOTE,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=500 random_state=0),0.7608,0.9191,0.0317,0.0029,0.4864,0.0596,NA,NA,dev set,0.7832,0.9203,0.0351,0.002,0.6058,0.0663
model_6,0,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio feature,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7549,0.9193,0.0098,0.0008,0.5083,0.0193,NA,NA,dev set,0.7665,0.9196,0.0106,0.0006,0.6137,0.0208
model_6,1,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio feature and EXT_SOURCE_1 fillna mean,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7552,0.9194,0.0116,0.0008,0.5455,0.0227,NA,NA,dev set,0.7667,0.9197,0.0113,0.0006,0.6364,0.0222
model_6,2,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio feature and EXT_SOURCE_1  EXT_SOURCE_3 fillna mean,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7541,0.9196,0.0156,0.001,0.5808,0.0304,NA,NA,dev set,0.7663,0.9198,0.0142,0.0007,0.6408,0.0277
model_6,3,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio feature and EXT_SOURCE_1  EXT_SOURCE_3 fillna mean,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=500  random_state=0),0.7649,0.9197,0.0361,0.0027,0.5398,0.0677,Submission_7.csv,0.764,dev set,0.7932,0.9213,0.0441,0.0017,0.6969,0.0829
model_6,4,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio feature and EXT_SOURCE_1 EXT_SOURCE_3 fillna by group,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=500  random_state=0),0.7632,0.9197,0.0334,0.0025,0.5433,0.0629,Submission_8.csv,0.762,dev set,0.7924,0.9212,0.0409,0.0015,0.7088,0.0774
Model_7,0,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio feature and EXT_SOURCE_1  EXT_SOURCE_3 fillna mean,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7541,0.9196,0.0156,0.001,0.5808,0.0304,NA,NA,dev set,0.7663,0.9198,0.0142,0.0007,0.6408,0.0277
Model_7,1,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio income_annutiy_ratio feature and EXT_SOURCE_1 EXT_SOURCE_3 fillna mean,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7538,0.9196,0.0156,0.001,0.574,0.0304,NA,NA,dev set,0.7662,0.9198,0.0139,0.0007,0.6364,0.0272
Model_7,2,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio income_annutiy_ratio feature and EXT_SOURCE_1 EXT_SOURCE_3 fillna mean apartment pc,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7485,0.9197,0.0143,0.0008,0.6224,0.028,NA,NA,dev set,0.7608,0.9198,0.0127,0.0006,0.6583,0.025
model_8,0,GBC trained only on all columns of application data with dev set CV and loan_annutiy_ratio feature and EXT_SOURCE_1 EXT_SOURCE_3 fillna mean,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=500 random_state=0),0.7645,0.9196,0.0338,0.0026,0.529,0.0636,NA,NA,dev set,0.7944,0.9214,0.0444,0.0016,0.7127,0.0835
model_9,0,GBC trained only on important columns of application data with dev set CV and loan_annutiy_ratio feature and EXT_SOURCE_1 EXT_SOURCE_3 fillna mean,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7541,0.9196,0.0156,0.001,0.5808,0.0304,NA,NA,dev set,0.7663,0.9198,0.0142,0.0007,0.6408,0.0277
model_9,1,GBC trained only on important columns of application data with dev set CV adding bureau features,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7553,0.9196,0.0172,0.0011,0.5722,0.0335,NA,NA,dev set,0.7676,0.9198,0.0151,0.0008,0.638,0.0296
model_9,2,GBC trained only on important columns of application data with dev set CV adding bureau features,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7553,0.9196,0.018,0.0012,0.5744,0.035,NA,NA,dev set,0.7675,0.9199,0.0164,0.0008,0.6497,0.0321
model_9,3,GBC trained only on important columns of application data with dev set CV adding bureau features,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7555,0.9196,0.0172,0.0012,0.5661,0.0335,NA,NA,dev set,0.7683,0.9199,0.0159,0.0007,0.6505,0.031
model_9,4,GBC trained only on important columns of application data with dev set CV adding bureau features,GradientBoostingClassifier,GradientBoostingClassifier(random_state=0),0.7551,0.9196,0.0166,0.0011,0.5598,0.0322,NA,NA,dev set,0.7686,0.92,0.0175,0.0007,0.6828,0.034
model_9,5,GBC trained only on important columns of application data with dev set CV adding bureau features,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=500 random_state=0),0.7683,0.9195,0.0375,0.003,0.5213,0.07,Submission_9.csv,0.769,dev set,0.7992,0.9219,0.0524,0.0018,0.7238,0.0977
model_9,6,LightGBM trained only on important columns of application data with dev set CV adding bureau features,LGBMClassifier,LGBMClassifier,0.7693,0.9195,0.0375,0.003,0.5213,0.07,Submission_10.csv,0.769,dev set,0.8469,0.9219,0.0524,0.0018,0.7238,0.0977
model_10,0,GBC trained only on important columns of application data with dev set CV adding bureau features,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=500 random_state=0),0.7683,0.9195,0.0375,0.003,0.5201,0.07,NA,NA,dev set,0.7992,0.9219,0.0524,0.0018,0.7238,0.0977
model_10,1,GBC trained only on important columns of application data with dev set CV adding bureau features,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7551,0.9195,0.0166,0.0012,0.5568,0.0322,NA,NA,dev set,0.7686,0.92,0.0175,0.0007,0.6828,0.034
model_10,2,GBC trained only on important columns of application data with dev set CV adding bureau and bureau balance features,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7555,0.9195,0.0163,0.0012,0.543,0.0316,NA,NA,dev set,0.7689,0.92,0.0176,0.0007,0.6742,0.0342
model_10,2,GBC trained only on important columns of application data with dev set CV adding bureau and bureau balance features,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7555,0.9195,0.0163,0.0012,0.543,0.0316,NA,NA,dev set,0.7689,0.92,0.0176,0.0007,0.6742,0.0342
model_10,3,GBC trained only on important columns of application data with dev set CV adding bureau and bureau balance features with mean also,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7552,0.9197,0.0185,0.0012,0.5779,0.0359,NA,NA,dev set,0.7688,0.92,0.0173,0.0007,0.6822,0.0337
model_10,4,GBC trained only on important columns of application data with dev set CV adding bureau and bureau balance features dummy na as category,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7552,0.9197,0.0185,0.0012,0.5779,0.0359,NA,NA,dev set,0.7688,0.92,0.0173,0.0007,0.6822,0.0337
model_10,5,GBC trained only on important columns of application data with dev set CV adding bureau and bureau balance features and add_previous_applications_features,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7585,0.9197,0.0189,0.0012,0.5735,0.0365,NA,NA,dev set,0.7737,0.92,0.0182,0.0008,0.6525,0.0353
model_10,6,GBC trained only on important columns of application data with dev set CV adding bureau and bureau balance features and add_previous_applications_features and POS features,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7617,0.9196,0.0187,0.0013,0.555,0.0362,NA,NA,dev set,0.7769,0.92,0.0205,0.001,0.648,0.0397
model_10,7,GBC trained only on important columns of application data with dev set CV adding bureau and bureau balance features and add_previous_applications_features and POS features,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=500 random_state=0),0.7758,0.9198,0.0482,0.0036,0.5387,0.0884,Submission_11.csv,0.775,dev set,0.8114,0.9224,0.0638,0.0022,0.7191,0.1172
model_10,8,GBC trained only on important columns of application data with dev set CV adding bureau and bureau balance features and add_previous_applications_features and POS features and CC features,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7631,0.9199,0.0209,0.0012,0.6103,0.0405,NA,NA,dev set,0.7797,0.9201,0.0207,0.001,0.652,0.0402
model_10,9,GBC trained only on important columns of application data with dev set CV adding bureau and bureau balance features and add_previous_applications_features and POS features and CC features and prev installment features,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7665,0.9198,0.0213,0.0013,0.5867,0.0411,NA,NA,dev set,0.783,0.9201,0.0221,0.001,0.6624,0.0428
model_10,10,GBC trained only on important columns of application data with dev set CV adding bureau and bureau balance features and add_previous_applications_features and POS features and CC features and prev installment features,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=500 random_state=0),0.7804,0.9199,0.0491,0.0037,0.5398,0.0901,NA,NA,dev set,0.8179,0.9229,0.0696,0.0021,0.7413,0.1272
model_11,0,GBC trained only on important columns of application data with dev set CV adding bureau features all,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7549,0.9196,0.0174,0.0012,0.5684,0.0338,NA,NA,dev set,0.7689,0.92,0.0179,0.0007,0.6796,0.0349
model_11,1,GBC trained only on important columns of application data with dev set CV adding bureau features all and BB features all,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7552,0.9195,0.0166,0.0012,0.5479,0.0322,NA,NA,dev set,0.7696,0.9201,0.0177,0.0007,0.6933,0.0346
model_11,2,GBC trained only on important columns of application data with dev set CV adding bureau features all and BB features all and prev app all,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7593,0.9197,0.0206,0.0013,0.5766,0.0398,NA,NA,dev set,0.7766,0.9201,0.0203,0.0009,0.6667,0.0394
model_11,3,GBC trained only on important columns of application data with dev set CV adding bureau features all and BB features all and prev app all and pos cash all,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7601,0.9199,0.0235,0.0014,0.6008,0.0453,NA,NA,dev set,0.7784,0.9202,0.023,0.0011,0.656,0.0445
model_11,4,GBC trained only on important columns of application data with dev set CV adding bureau features all and BB features all and prev app all and pos cash all and cc all,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7627,0.9199,0.0238,0.0014,0.592,0.0458,NA,NA,dev set,0.7809,0.9202,0.0228,0.001,0.662,0.0441
model_11,5,GBC trained only on important columns of application data with dev set CV adding bureau features all and BB features all and prev app all and pos cash all and cc all and installment all,GradientBoostingClassifier,GradientBoostingClassifier(n_estimators=100 random_state=0),0.7658,0.92,0.0261,0.0015,0.6,0.05,NA,NA,dev set,0.784,0.9202,0.0251,0.0012,0.6568,0.0483
